time,reward,1,2,3,4,5,6,7,8,delay,replication
18000,0,30,30,62,34,14,30,42,35,0,8050315
32400,0,30,30,62,34,14,30,42,35,0,8050315
18900,0,30,30,62,34,14,30,42,35,0,8050315
27000,0,30,30,62,34,14,30,42,35,0,8050315
33300,0,30,30,62,34,14,30,42,35,0,8050315
19800,0,30,30,62,34,14,30,42,35,0,8050315
27900,0,30,30,62,34,14,30,42,35,0,8050315
34200,0,30,30,62,34,14,30,42,35,0,8050315
20700,0,30,30,62,34,14,30,42,35,0,8050315
28800,0,30,30,62,34,14,30,42,35,0,8050315
35100,0,30,30,62,34,14,30,42,35,0,8050315
21600,0,30,30,62,34,14,30,42,35,0,8050315
29700,0,30,30,62,34,14,30,42,35,0,8050315
36000,0,30,30,62,34,14,30,42,35,0,8050315
22500,0,30,30,62,34,14,30,42,35,0,8050315
30600,0,30,30,62,34,14,30,42,35,0,8050315
36900,0,30,30,62,34,14,30,42,35,0,8050315
23400,0,30,30,62,69,14,30,42,35,0,8050315
31500,0,30,30,62,34,14,30,42,35,0,8050315
37800,0,30,30,62,34,14,30,42,35,0,8050315
24300,0,30,30,62,34,14,30,42,35,0,8050315
32400,0,30,30,62,34,14,30,42,35,0,8050315
25200,0,30,30,62,34,14,30,42,35,0,8050315
38700,0,30,30,62,34,14,30,42,35,0,8050315
33300,0,30,30,62,34,14,30,42,35,0,8050315
26100,0,30,30,62,34,14,30,42,35,0,8050315
39600,0,30,30,62,34,14,30,42,35,0,8050315
34200,0,30,30,62,34,14,30,42,35,0,8050315
27000,0,30,30,62,34,14,30,42,35,0,8050315
40500,0,30,30,62,34,14,30,42,35,0,8050315
35100,0,30,30,62,34,14,30,42,35,0,8050315
27900,0,30,30,62,34,14,30,42,35,0,8050315
41400,0,30,30,62,34,14,30,42,35,0,8050315
36000,0,30,30,62,34,14,30,42,35,0,8050315
28800,0,30,30,62,34,14,30,42,35,0,8050315
42300,0,30,30,62,15,14,30,42,35,0,8050315
36900,0,30,30,62,34,14,30,42,35,0,8050315
43200,0,30,30,62,34,14,30,42,35,0,8050315
37800,0,30,30,62,34,14,30,42,35,0,8050315
44100,0,30,30,62,34,14,30,42,35,0,8050315
29700,0,30,30,62,34,14,30,42,35,0,8050315
